category,review,text_input,clean_text,rating,sentiment,label
elektronik,Lumayan lah buat kuatin signal,kategori elektronik ulasan Lumayan lah buat kuatin signal,kategori elektronik ulasan lumayan lah buat kuatin sinyal,5,positif,2
elektronik,"Penjual fast shipper, tapi kablenya ngak setebel cable lan saya...","kategori elektronik ulasan Penjual fast shipper, tapi kablenya ngak setebel cable lan saya...",kategori elektronik ulasan penjual cepat shipper tapi kablenya tidak setebel cable lan saya,5,positif,2
makanan_minuman,sdh 2 X pesan di toko ini. dagingnya bagus. tiba di tempat masih beku . sangat rekomen belanja di sini. penjual ramah dan fast respon. pokoknya puas banget. sukses terus.,kategori makanan_minuman ulasan sdh 2 X pesan di toko ini. dagingnya bagus. tiba di tempat masih beku . sangat rekomen belanja di sini. penjual ramah dan fast respon. pokoknya puas banget. sukses terus.,kategori makanan minuman ulasan sudah x pesan di toko ini dagingnya bagus tiba di tempat masih beku sangat rekomen belanja di sini penjual ramah dan cepat respon pokoknya puas banget sukses terus,5,positif,2
fashion,Ukuran 42 nya ternyata kecil ngga sesuai deskripsi,kategori fashion ulasan Ukuran 42 nya ternyata kecil ngga sesuai deskripsi,kategori fashion ulasan ukuran nya ternyata kecil tidak sesuai deskripsi,3,netral,1
fashion,"Bahan: Joss
Karakteristik: Pass
Durabilitas: Asyk","kategori fashion ulasan Bahan: Joss
Karakteristik: Pass
Durabilitas: Asyk",kategori fashion ulasan bahan joss karakteristik pass durabilitas asyk,3,netral,1
kecantikan,"Wanggi tapi ga kayak dulu, sekarang wangginya beda","kategori kecantikan ulasan Wanggi tapi ga kayak dulu, sekarang wangginya beda",kategori kecantikan ulasan wanggi tapi tidak kayak dulu sekarang wangginya beda,1,negatif,0
makanan_minuman,ga banget ! daging gumpal kaya abis kena air jadi keras,kategori makanan_minuman ulasan ga banget ! daging gumpal kaya abis kena air jadi keras,kategori makanan minuman ulasan tidak banget daging gumpal kaya habis kena air jadi keras,1,negatif,0
hiburan,"Tidak berfungsi sama sekali,.gak bisa conek","kategori hiburan ulasan Tidak berfungsi sama sekali,.gak bisa conek",kategori hiburan ulasan tidak berfungsi sama sekali tidak bisa conek,2,negatif,0
kecantikan,packingnya mohon di perhatikan lagi. tutup face washnya jadi rusak,kategori kecantikan ulasan packingnya mohon di perhatikan lagi. tutup face washnya jadi rusak,kategori kecantikan ulasan packingnya mohon di perhatikan lagi tutup face washnya jadi rusak,3,netral,1
makanan_minuman,order 4 item dikirim cuma 2 padahal udh langganan baru ini nakal barang yg dikirim kurang,kategori makanan_minuman ulasan order 4 item dikirim cuma 2 padahal udh langganan baru ini nakal barang yg dikirim kurang,kategori makanan minuman ulasan order hitam dikirim cuma padahal udh langganan baru ini nakal barang yang dikirim kurang,1,negatif,0
makanan_minuman,barangnya basi pdhl Minggu di krm Senin sampe pas di goreng asem pdhl sy bbrp kali order buat sodara dan teman ga tau sebelum nya basi juga engga ini order buat diri sendiri basi LBH awet yg dulu klo beli di ksh sagu BKN vacum,kategori makanan_minuman ulasan barangnya basi pdhl Minggu di krm Senin sampe pas di goreng asem pdhl sy bbrp kali order buat sodara dan teman ga tau sebelum nya basi juga engga ini order buat diri sendiri basi LBH awet yg dulu klo beli di ksh sagu BKN vacum,kategori makanan minuman ulasan barangnya basi padahal minggu di kirim senin sampai pas di goreng asam padahal saya beberapa kali order buat sodara dan teman tidak tahu sebelum nya basi juga engga ini order buat diri sendiri basi lebih awet yang dulu kalau beli di ksh sagu bukan vacum,1,negatif,0
elektronik,Barang sesuai permintaan  Pengiriman cepat Thanks gan,kategori elektronik ulasan Barang sesuai permintaan  Pengiriman cepat Thanks gan,kategori elektronik ulasan barang sesuai permintaan pengiriman cepat terima kasih juragan,5,positif,2
olahraga,"Proses nya cepet banget, T.O.P banget deh","kategori olahraga ulasan Proses nya cepet banget, T.O.P banget deh",kategori olahraga ulasan proses nya cepat banget t o p banget deh,5,positif,2
pertukangan,Barang bagus pengiriman cepat,kategori pertukangan ulasan Barang bagus pengiriman cepat,kategori pertukangan ulasan barang bagus pengiriman cepat,5,positif,2
fashion,"ukuran/size xxl nya seperti xl ya.?
overall muat tp pas dibody kliatan montok.
thx seller.","kategori fashion ulasan ukuran/size xxl nya seperti xl ya.?
overall muat tp pas dibody kliatan montok.
thx seller.",kategori fashion ulasan ukuran size xxl nya seperti xl iya keseluruhan muat tapi pas dibody kliatan montok terima kasih seller,3,netral,1
fashion,semoga awet ya jgn cepet rusak dan anak saya suka,kategori fashion ulasan semoga awet ya jgn cepet rusak dan anak saya suka,kategori fashion ulasan semoga awet iya jangan cepat rusak dan anak saya suka,5,positif,2
hiburan,"Seller responsif
Packing aman
Pengiriman cepat pake bingits😁👍
Kualitas barang bagus
Terimakasih seller","kategori hiburan ulasan Seller responsif
Packing aman
Pengiriman cepat pake bingits😁👍
Kualitas barang bagus
Terimakasih seller",kategori hiburan ulasan seller responsif packing aman pengiriman cepat pakai bingits senang bagus kualitas barang bagus terima kasih seller,5,positif,2
hiburan,"guut, cepet sampenya, smoga ponakan suka ^^","kategori hiburan ulasan guut, cepet sampenya, smoga ponakan suka ^^",kategori hiburan ulasan guut cepat sampenya semoga ponakan suka,5,positif,2
hiburan,"pengiriman lumayan cepat, packingnya aman dan rapi.","kategori hiburan ulasan pengiriman lumayan cepat, packingnya aman dan rapi.",kategori hiburan ulasan pengiriman lumayan cepat packingnya aman dan rapi,5,positif,2
kecantikan,Gimana ini aku mesan skincare yg datang parfum semua,kategori kecantikan ulasan Gimana ini aku mesan skincare yg datang parfum semua,kategori kecantikan ulasan bagaimana ini aku mesan skincare yang datang parfum semua,2,negatif,0
pertukangan,Alhamdulillah sesuai ekspetasi...,kategori pertukangan ulasan Alhamdulillah sesuai ekspetasi...,kategori pertukangan ulasan alhamdulillah sesuai ekspetasi,5,positif,2
pertukangan,Sesuai gambar dan deskripsi. Mantappppp recommended seller.👍👍👍👍👍,kategori pertukangan ulasan Sesuai gambar dan deskripsi. Mantappppp recommended seller.👍👍👍👍👍,kategori pertukangan ulasan sesuai gambar dan deskripsi mantappppp rekomendasi seller bagus bagus bagus bagus bagus,5,positif,2
olahraga,Terima kasih. Barang di terima dengan baik.,kategori olahraga ulasan Terima kasih. Barang di terima dengan baik.,kategori olahraga ulasan terima kasih barang di terima dengan baik,5,positif,2
kecantikan,Kemasan kotor,kategori kecantikan ulasan Kemasan kotor,kategori kecantikan ulasan kemasan kotor,3,netral,1
makanan_minuman,"seller komunikatif,sesuai deskripsi,kemasan aman,trims lada bubuknya,","kategori makanan_minuman ulasan seller komunikatif,sesuai deskripsi,kemasan aman,trims lada bubuknya,",kategori makanan minuman ulasan seller komunikatif sesuai deskripsi kemasan aman terima kasih lada bubuknya,5,positif,2
olahraga,"Terima kasih,brg telah sampai,sukses selalu.","kategori olahraga ulasan Terima kasih,brg telah sampai,sukses selalu.",kategori olahraga ulasan terima kasih barang telah sampai sukses selalu,5,positif,2
makanan_minuman,"bagus banget qualitas tidak kalah sama supermrkt, harganya lebih murah dan qty nya bnyak, seger2 bersih, suka banget pokoknya","kategori makanan_minuman ulasan bagus banget qualitas tidak kalah sama supermrkt, harganya lebih murah dan qty nya bnyak, seger2 bersih, suka banget pokoknya",kategori makanan minuman ulasan bagus banget qualitas tidak kalah sama supermrkt harganya lebih murah dan qty nya banyak seger bersih suka banget pokoknya,5,positif,2
fashion,Dikirim ukuran jumbo 1,kategori fashion ulasan Dikirim ukuran jumbo 1,kategori fashion ulasan dikirim ukuran jumbo,3,netral,1
olahraga,kualitas barang bagus terutama gripnya,kategori olahraga ulasan kualitas barang bagus terutama gripnya,kategori olahraga ulasan kualitas barang bagus terutama gripnya,4,positif,2
fashion,yg ini jg ktinggalan dari pngiriman pertama,kategori fashion ulasan yg ini jg ktinggalan dari pngiriman pertama,kategori fashion ulasan yang ini juga ktinggalan dari pngiriman pertama,3,netral,1
fashion,Kualitas produk sangat baik dan pengiriman sesuai prosedur 👍,kategori fashion ulasan Kualitas produk sangat baik dan pengiriman sesuai prosedur 👍,kategori fashion ulasan kualitas produk sangat baik dan pengiriman sesuai prosedur bagus,5,positif,2
elektronik,Mantapsssss dan tepatttttrrrrrrttrttttt,kategori elektronik ulasan Mantapsssss dan tepatttttrrrrrrttrttttt,kategori elektronik ulasan mantapsssss dan tepatttttrrrrrrttrttttt,5,positif,2
olahraga,Barangnya bagus tapi pegangannya sebelah goyang,kategori olahraga ulasan Barangnya bagus tapi pegangannya sebelah goyang,kategori olahraga ulasan barangnya bagus tapi pegangannya sebelah goyang,4,positif,2
makanan_minuman,"sampai tepat waktu, packaging cantik, rasanya enak, tekstur lembut","kategori makanan_minuman ulasan sampai tepat waktu, packaging cantik, rasanya enak, tekstur lembut",kategori makanan minuman ulasan sampai tepat waktu packaging cantik rasanya enak tekstur lembut,5,positif,2
makanan_minuman,"Mantap terbaik utk frozen fruit!! Packing aman, delivery cepat. Dan beneran enak buat smoothie.","kategori makanan_minuman ulasan Mantap terbaik utk frozen fruit!! Packing aman, delivery cepat. Dan beneran enak buat smoothie.",kategori makanan minuman ulasan bagus terbaik untuk frozen fruit packing aman delivery cepat dan beneran enak buat smoothie,5,positif,2
olahraga,"Barang mantap sesuai pesanan
Sukses terus bang","kategori olahraga ulasan Barang mantap sesuai pesanan
Sukses terus bang",kategori olahraga ulasan barang bagus sesuai pesanan sukses terus bang,5,positif,2
olahraga,"Respon cepat packing rapi, kualitas sesuai harga lah","kategori olahraga ulasan Respon cepat packing rapi, kualitas sesuai harga lah",kategori olahraga ulasan respon cepat packing rapi kualitas sesuai harga lah,4,positif,2
kecantikan,"Barang ok.
Pengiriman lama. Masa sesama Jkt pengiriman seminggu?","kategori kecantikan ulasan Barang ok.
Pengiriman lama. Masa sesama Jkt pengiriman seminggu?",kategori kecantikan ulasan barang oke pengiriman lama masa sesama jakarta pengiriman seminggu,3,netral,1
pertukangan,barang sudah di terima dan packaging bagus,kategori pertukangan ulasan barang sudah di terima dan packaging bagus,kategori pertukangan ulasan barang sudah di terima dan packaging bagus,5,positif,2
makanan_minuman,"daging nya ok, masih beku&amp; fresh, adminnya juga baik melayani diskusi kita","kategori makanan_minuman ulasan daging nya ok, masih beku&amp; fresh, adminnya juga baik melayani diskusi kita",kategori makanan minuman ulasan daging nya oke masih beku fresh adminnya juga baik melayani diskusi kita,5,positif,2
makanan_minuman,beras enak... unt sdr yg diabet... packing ok... tks seller...,kategori makanan_minuman ulasan beras enak... unt sdr yg diabet... packing ok... tks seller...,kategori makanan minuman ulasan beras enak unt sdr yang diabet packing oke terima kasih seller,5,positif,2
olahraga,Barang sesuai produk respon sangat cepat,kategori olahraga ulasan Barang sesuai produk respon sangat cepat,kategori olahraga ulasan barang sesuai produk respon sangat cepat,5,positif,2
fashion,"Pengiriman cepat, fast respon dan barang sesuai (bagusss). Tq ka","kategori fashion ulasan Pengiriman cepat, fast respon dan barang sesuai (bagusss). Tq ka",kategori fashion ulasan pengiriman cepat cepat respon dan barang sesuai bagusss terima kasih kakak,5,positif,2
kecantikan,Bagus banget buat kulit super kering,kategori kecantikan ulasan Bagus banget buat kulit super kering,kategori kecantikan ulasan bagus banget buat kulit super kering,5,positif,2
makanan_minuman,siomaynya cocok dengan selera sy. trm ksh agan seller,kategori makanan_minuman ulasan siomaynya cocok dengan selera sy. trm ksh agan seller,kategori makanan minuman ulasan siomaynya cocok dengan selera saya terima ksh agan seller,5,positif,2
kecantikan,tahan nyaa bentar bgt :((( projection nya juga tipis bgtt entah kenapa tapi dulu beli yg alpha projection nya mantep,kategori kecantikan ulasan tahan nyaa bentar bgt :((( projection nya juga tipis bgtt entah kenapa tapi dulu beli yg alpha projection nya mantep,kategori kecantikan ulasan tahan nyaa sebentar banget projection nya juga tipis bgtt entah kenapa tapi dulu beli yang alpha projection nya mantap,3,netral,1
makanan_minuman,"kedua roti telah diterima dalam keadaan tidak basi dan masih fresh. sudah dicoba menjadi roti bakar, dengan olesan berbagai selai dari Nutella, Biscoff Crunchy, Skippy Nutty, St Dalfour Apple &amp; Cinnamon, sampai Nude Berry + Dragon dan Nude Almond Espresso rasanya khas gandum seperti roti kualitas hotel","kategori makanan_minuman ulasan kedua roti telah diterima dalam keadaan tidak basi dan masih fresh. sudah dicoba menjadi roti bakar, dengan olesan berbagai selai dari Nutella, Biscoff Crunchy, Skippy Nutty, St Dalfour Apple &amp; Cinnamon, sampai Nude Berry + Dragon dan Nude Almond Espresso rasanya khas gandum seperti roti kualitas hotel",kategori makanan minuman ulasan kedua roti telah diterima dalam keadaan tidak basi dan masih fresh sudah dicoba menjadi roti bakar dengan olesan berbagai selai dari nutella biscoff crunchy skippy nutty st dalfour apple cinnamon sampai nude berry dragon dan nude almond espresso rasanya khas gandum seperti roti kualitas hotel,5,positif,2
elektronik,"Oke banget, barang oke, pengiriman jg oke","kategori elektronik ulasan Oke banget, barang oke, pengiriman jg oke",kategori elektronik ulasan oke banget barang oke pengiriman juga oke,5,positif,2
hiburan,niceee sekalii everybodyyyy,kategori hiburan ulasan niceee sekalii everybodyyyy,kategori hiburan ulasan niceee sekalii everybodyyyy,5,positif,2
fashion,Keren barang sudah smpai dan sesuai dengan gambar original 100%,kategori fashion ulasan Keren barang sudah smpai dan sesuai dengan gambar original 100%,kategori fashion ulasan keren barang sudah sampai dan sesuai dengan gambar original,5,positif,2
pertukangan,luar biasa..ga neko2 dapat bonusan pengiriman jg sgt cepat.. makasih seller jaya terus..,kategori pertukangan ulasan luar biasa..ga neko2 dapat bonusan pengiriman jg sgt cepat.. makasih seller jaya terus..,kategori pertukangan ulasan luar biasa tidak neko dapat bonusan pengiriman juga sangat cepat terima kasih seller jaya terus,5,positif,2
elektronik,Dikirim dengan cepat rapi aman dan produk sesuai dengan deskripsi... bagus dan enak dipakai...,kategori elektronik ulasan Dikirim dengan cepat rapi aman dan produk sesuai dengan deskripsi... bagus dan enak dipakai...,kategori elektronik ulasan dikirim dengan cepat rapi aman dan produk sesuai dengan deskripsi bagus dan enak dipakai,5,positif,2
kecantikan,"lengket, susah di blend.
melembabkan, no white cast, tube enak buat apply 2 jari.","kategori kecantikan ulasan lengket, susah di blend.
melembabkan, no white cast, tube enak buat apply 2 jari.",kategori kecantikan ulasan lengket susah di blend melembabkan no white cast youtube enak buat apply jari,3,netral,1
kecantikan,Semoga cucok dan efektif seperti claim nya,kategori kecantikan ulasan Semoga cucok dan efektif seperti claim nya,kategori kecantikan ulasan semoga cocok dan efektif seperti ambil nya,5,positif,2
olahraga,ih sumpah ga suka bnget warna nya ga sesuai ama yang dipesen motifnya juga,kategori olahraga ulasan ih sumpah ga suka bnget warna nya ga sesuai ama yang dipesen motifnya juga,kategori olahraga ulasan ih sumpah tidak suka banget warna nya tidak sesuai sama yang dipesen motifnya juga,1,negatif,0
makanan_minuman,"produk sesuai deskripsi, pengemasan rapi, pake kardus dan bubblewrap, aman sampe tujuan, ED 231124, mantaabs","kategori makanan_minuman ulasan produk sesuai deskripsi, pengemasan rapi, pake kardus dan bubblewrap, aman sampe tujuan, ED 231124, mantaabs",kategori makanan minuman ulasan produk sesuai deskripsi pengemasan rapi pakai kardus dan bubblewrap aman sampai tujuan edisi mantaabs,5,positif,2
elektronik,"Maaf baru kasih ulasan..
Barang mantap semua,order jam 11 siang dan jam 2 siang sampe..puas","kategori elektronik ulasan Maaf baru kasih ulasan..
Barang mantap semua,order jam 11 siang dan jam 2 siang sampe..puas",kategori elektronik ulasan maaf baru kasih ulasan barang bagus semua order jam siang dan jam siang sampai puas,4,positif,2
olahraga,Empuk. Bahannya jg nyaman digunakan. Semoga awet dan jd menyalurkan hobi positif buat tubuh. Hehe. Puas..,kategori olahraga ulasan Empuk. Bahannya jg nyaman digunakan. Semoga awet dan jd menyalurkan hobi positif buat tubuh. Hehe. Puas..,kategori olahraga ulasan empuk bahannya juga nyaman digunakan semoga awet dan jadi menyalurkan hobi positif buat tubuh he puas,5,positif,2
elektronik,Barang sesuai pesanan... Responds bagus.. Qualitas barang bagus...,kategori elektronik ulasan Barang sesuai pesanan... Responds bagus.. Qualitas barang bagus...,kategori elektronik ulasan barang sesuai pesanan responds bagus qualitas barang bagus,5,positif,2
hiburan,Penyot dikit tp gpp,kategori hiburan ulasan Penyot dikit tp gpp,kategori hiburan ulasan penyot dikit tapi tidak apa apa,5,positif,2
fashion,"Produk baik,ukuran sesuai.
Kemasan bagus. Tq","kategori fashion ulasan Produk baik,ukuran sesuai.
Kemasan bagus. Tq",kategori fashion ulasan produk baik ukuran sesuai kemasan bagus terima kasih,5,positif,2
pertukangan,semua lengkap,kategori pertukangan ulasan semua lengkap,kategori pertukangan ulasan semua lengkap,5,positif,2
olahraga,Sesuai dengan apa yang dipesan,kategori olahraga ulasan Sesuai dengan apa yang dipesan,kategori olahraga ulasan sesuai dengan apa yang dipesan,5,positif,2
makanan_minuman,"Strawberry rusak e
sebagian","kategori makanan_minuman ulasan Strawberry rusak e
sebagian",kategori makanan minuman ulasan strawberry rusak e sebagian,3,netral,1
fashion,beda warna dan lama,kategori fashion ulasan beda warna dan lama,kategori fashion ulasan beda warna dan lama,1,negatif,0
kecantikan,packing kurang aman bubblewrap kurang tebal,kategori kecantikan ulasan packing kurang aman bubblewrap kurang tebal,kategori kecantikan ulasan packing kurang aman bubblewrap kurang tebal,3,netral,1
pertukangan,"pembelian kedua, cepat sampai dan packing aman dgn buble wrap d dalamnya..sukses terus gan","kategori pertukangan ulasan pembelian kedua, cepat sampai dan packing aman dgn buble wrap d dalamnya..sukses terus gan",kategori pertukangan ulasan pembelian kedua cepat sampai dan packing aman dengan buble wrap di dalamnya sukses terus juragan,5,positif,2
fashion,Respon cepat. Tp produk kurang bagus. Benar benar kw. Spt habis dipilok sepatunya,kategori fashion ulasan Respon cepat. Tp produk kurang bagus. Benar benar kw. Spt habis dipilok sepatunya,kategori fashion ulasan respon cepat tapi produk kurang bagus benar benar imitasi seperti habis dipilok sepatunya,3,netral,1
kecantikan,"proses agak lama. packing OK, pengiriman cepat. dapat harga diskon jadi murah.","kategori kecantikan ulasan proses agak lama. packing OK, pengiriman cepat. dapat harga diskon jadi murah.",kategori kecantikan ulasan proses agak lama packing oke pengiriman cepat dapat harga diskon jadi murah,4,positif,2
elektronik,seller responsive.............,kategori elektronik ulasan seller responsive.............,kategori elektronik ulasan seller responsive,5,positif,2
elektronik,barang bagus sesuai dgn gambar,kategori elektronik ulasan barang bagus sesuai dgn gambar,kategori elektronik ulasan barang bagus sesuai dengan gambar,5,positif,2
fashion,Sampean itu orgx gk amanah coba lihat gambarx itu jas hujan bay 1 get 1 kan ko yg dtg cma 1 kmn yg satux lgi klu jualan tu yg btl dong klu yg kita beli 1 geratis 1 ya hrs sesuai dgn yg kita beli dong pokokx kirimkan yg satux lgi,kategori fashion ulasan Sampean itu orgx gk amanah coba lihat gambarx itu jas hujan bay 1 get 1 kan ko yg dtg cma 1 kmn yg satux lgi klu jualan tu yg btl dong klu yg kita beli 1 geratis 1 ya hrs sesuai dgn yg kita beli dong pokokx kirimkan yg satux lgi,kategori fashion ulasan sampean itu orgx tidak amanah coba lihat gambarx itu jas hujan bay get kan ko yang datang cma kmn yang satux lagi klu jualan tu yang btl dong klu yang kita beli geratis iya harus sesuai dengan yang kita beli dong pokokx kirimkan yang satux lagi,1,negatif,0
makanan_minuman,"uda langganan kualitas brg slalu baik, cm hr ini tumben ada slh kirim pesanan tdk sesuai, tp admin gercep lgsg dikirim kurir toko utk nukar barangnya yg salah 👌👍","kategori makanan_minuman ulasan uda langganan kualitas brg slalu baik, cm hr ini tumben ada slh kirim pesanan tdk sesuai, tp admin gercep lgsg dikirim kurir toko utk nukar barangnya yg salah 👌👍",kategori makanan minuman ulasan uda langganan kualitas barang selalu baik cm hari ini tumben ada slh kirim pesanan tidak sesuai tapi admin gerak cepat langsung dikirim kurir toko untuk nukar barangnya yang salah bagus,5,positif,2
hiburan,"Pembelian ketiga di toko ini.. Packing sangat aman, pengiriman cepat, produk berkualitas.. Thank you","kategori hiburan ulasan Pembelian ketiga di toko ini.. Packing sangat aman, pengiriman cepat, produk berkualitas.. Thank you",kategori hiburan ulasan pembelian ketiga di toko ini packing sangat aman pengiriman cepat produk berkualitas terima kasih you,5,positif,2
